material,label,trial,timestamp,reading
plastic,0,5,1743370097.2879128,"[1.4399993896484489, -6.1199985504150405, 0.532373046874909, -3.9599731445312045, 2.8500000000000227, 3.823632812499909, 3.1499877929687727, -0.11998901367189774, 1.0647460937500455, -0.029992675781244316, -1.8599975585937472, -5.4691650390625455, -5.369999504089355, -1.5900054931640568, 3.6783447265625]"
plastic,0,5,1743370097.390068,"[4.590008544921886, -3.2700000762939467, -0.677587890625091, 0.8400146484375455, 0.6000000000000227, 4.549584960937409, 2.6999755859375227, 3.3299926757812273, -3.5331542968749545, -2.7300048828124943, 2.789996337890628, -3.0492431640625455, -3.420000648498535, 3.510000610351568, 1.016357421875]"
plastic,0,5,1743370097.4923542,"[3.0900085449218864, -3.5699993133544936, -1.403540039062591, -3.0600097656249545, 3.1499877929687727, 1.403588867187409, -2.9999755859374773, -3.4200073242187727, 6.6307861328125455, -4.379998779296869, 3.0899993896484403, -3.0492431640625455, -5.5199991226196286, -2.489999389648432, 0.2904052734375]"
plastic,0,5,1743370097.597615,"[1.1399963378906364, -3.8700004577636733, 8.034448242187409, -0.060009765624954525, -2.1000122070312273, 5.033593749999909, -1.3500122070312273, -1.9200073242187727, 0.8228027343750455, -5.129998779296869, 2.4900009155273466, -0.3872558593750455, 0.9300006866455082, 0.8100036621093807, 1.5003662109375]"
plastic,0,5,1743370097.701001,"[2.3400085449218864, 4.229999923706053, 3.920434570312409, -3.6599853515624545, 3.4499755859375227, -3.920385742187591, 3.3000122070312727, -3.4200073242187727, 5.4208251953125455, -4.529992675781244, 1.7400009155273466, 4.4528320312499545, 0.7800001144409183, 0.20999755859375568, -4.549560546875]"
plastic,0,5,1743370097.805644,"[-1.4099914550781136, -0.8700004577636733, -4.791601562500091, 1.5900146484375455, 3.0000244140625227, -1.984350585937591, -0.30002441406247726, 1.6799987792968523, 7.3568603515625455, -0.029992675781244316, -6.960003662109372, 3.7267578124999545, -2.9699998855590817, 0.5100006103515682, -0.6776123046875]"
plastic,0,5,1743370097.9092338,"[3.2400024414062614, 2.280001068115233, -2.855566406250091, 0.6899902343750455, 0.44997558593752274, -8.518408203125091, 2.6999755859375227, 6.179998779296852, 2.7588378906250455, 0.2699951171875057, 0.8399993896484403, 2.0327880859374545, -4.469999885559082, -4.290002441406244, -0.193603515625]"
plastic,0,5,1743370098.014519,"[0.09000854492188637, -0.719998931884767, -3.823583984375091, -2.4599731445312045, 2.4414062522737368e-05, -1.258398437500091, 1.5000244140625227, -2.0700012207031477, -4.7432373046874545, 4.620001220703131, -4.710003662109372, 1.7908447265624545, -2.670000648498535, -5.639993286132807, -2.6136474609375]"
plastic,0,5,1743370098.115979,"[5.189999389648449, -3.719998931884767, -5.275610351562591, 4.2900268554687955, -1.4999755859374773, -0.04843750000009095, 2.3999877929687727, -0.8699890136718977, 1.3068115234375455, -4.980004882812494, 0.39000244140625284, 0.5807617187499545, -3.5700002670288082, 3.360006713867193, -3.8236083984375]"
plastic,0,5,1743370098.217825,"[2.4900024414062614, -2.219998931884767, 3.920434570312409, 0.23997802734379547, -6.749975585937477, 0.19362792968740905, 2.5500122070312727, -1.1700073242187727, 0.3387939453125455, -3.329995727539057, -3.960003662109372, 4.6947753906249545, 0.18000068664550817, -2.9399963378906193, -0.9195556640625]"
