material,motion,trial,timestamp,reading
metal,rub,4,1742113828.9633548,"[np.float64(125.10000610351562), np.float64(-32.25), np.float64(-1609.783935546875), np.float64(462.9000244140625), np.float64(-822.0000610351562), np.float64(-1534.280029296875), np.float64(-814.2000122070312), np.float64(480.7500305175781), np.float64(-1555.092041015625), np.float64(-66.45000457763672), np.float64(-18.900001525878906), np.float64(-1442.0780029296875), np.float64(35.70000076293945), np.float64(143.40000915527344), np.float64(-1671.251953125)]"
metal,rub,4,1742113829.067067,"[np.float64(125.85000610351562), np.float64(-33.0), np.float64(-1616.5599365234375), np.float64(460.3500061035156), np.float64(-826.3500366210938), np.float64(-1536.4580078125), np.float64(-819.7500610351562), np.float64(491.5500183105469), np.float64(-1558.47998046875), np.float64(-66.9000015258789), np.float64(-12.0), np.float64(-1449.095947265625), np.float64(25.05000114440918), np.float64(137.85000610351562), np.float64(-1673.9139404296875)]"
metal,rub,4,1742113829.169014,"[np.float64(124.80000305175781), np.float64(-39.900001525878906), np.float64(-1617.2860107421875), np.float64(458.2500305175781), np.float64(-829.050048828125), np.float64(-1536.699951171875), np.float64(-823.2000122070312), np.float64(483.7500305175781), np.float64(-1558.47998046875), np.float64(-69.0), np.float64(-11.700000762939453), np.float64(-1442.56201171875), np.float64(28.05000114440918), np.float64(139.0500030517578), np.float64(-1671.251953125)]"
metal,rub,4,1742113829.272741,"[np.float64(121.80000305175781), np.float64(-34.20000076293945), np.float64(-1613.1719970703125), np.float64(460.3500061035156), np.float64(-827.2500610351562), np.float64(-1540.81396484375), np.float64(-814.3500366210938), np.float64(482.1000061035156), np.float64(-1571.5479736328125), np.float64(-67.5), np.float64(-15.450000762939453), np.float64(-1445.7080078125), np.float64(27.900001525878906), np.float64(150.3000030517578), np.float64(-1672.946044921875)]"
metal,rub,4,1742113829.377864,"[np.float64(124.35000610351562), np.float64(-31.350000381469727), np.float64(-1615.833984375), np.float64(463.5000305175781), np.float64(-826.3500366210938), np.float64(-1537.426025390625), np.float64(-820.9500122070312), np.float64(489.7500305175781), np.float64(-1551.7039794921875), np.float64(-63.000003814697266), np.float64(-20.850000381469727), np.float64(-1446.91796875), np.float64(23.55000114440918), np.float64(146.40000915527344), np.float64(-1683.35205078125)]"
metal,rub,4,1742113829.483026,"[np.float64(118.95000457763672), np.float64(-34.05000305175781), np.float64(-1615.833984375), np.float64(458.1000061035156), np.float64(-829.050048828125), np.float64(-1529.43994140625), np.float64(-820.050048828125), np.float64(486.0000305175781), np.float64(-1568.885986328125), np.float64(-64.20000457763672), np.float64(-14.850000381469727), np.float64(-1447.885986328125), np.float64(30.450000762939453), np.float64(147.90000915527344), np.float64(-1675.1240234375)]"
metal,rub,4,1742113829.586768,"[np.float64(121.50000762939453), np.float64(-34.650001525878906), np.float64(-1615.833984375), np.float64(457.95001220703125), np.float64(-828.1500244140625), np.float64(-1526.7779541015625), np.float64(-823.9500122070312), np.float64(484.95001220703125), np.float64(-1565.98193359375), np.float64(-66.0), np.float64(-14.100000381469727), np.float64(-1447.1600341796875), np.float64(29.250001907348633), np.float64(144.3000030517578), np.float64(-1669.3160400390625)]"
metal,rub,4,1742113829.687038,"[np.float64(121.6500015258789), np.float64(-35.400001525878906), np.float64(-1618.97998046875), np.float64(467.4000244140625), np.float64(-820.050048828125), np.float64(-1540.0880126953125), np.float64(-821.1000366210938), np.float64(486.3000183105469), np.float64(-1557.9959716796875), np.float64(-65.25), np.float64(-22.950000762939453), np.float64(-1448.85400390625), np.float64(30.600000381469727), np.float64(146.10000610351562), np.float64(-1679.238037109375)]"
metal,rub,4,1742113829.790963,"[np.float64(118.80000305175781), np.float64(-35.10000228881836), np.float64(-1615.1080322265625), np.float64(463.95001220703125), np.float64(-827.550048828125), np.float64(-1534.0379638671875), np.float64(-815.1000366210938), np.float64(489.0000305175781), np.float64(-1561.8680419921875), np.float64(-63.60000228881836), np.float64(-19.950000762939453), np.float64(-1444.2559814453125), np.float64(23.700000762939453), np.float64(138.60000610351562), np.float64(-1678.511962890625)]"
metal,rub,4,1742113829.892899,"[np.float64(119.70000457763672), np.float64(-35.400001525878906), np.float64(-1617.5279541015625), np.float64(451.8000183105469), np.float64(-825.1500244140625), np.float64(-1533.0699462890625), np.float64(-822.6000366210938), np.float64(488.5500183105469), np.float64(-1562.8359375), np.float64(-66.9000015258789), np.float64(-13.500000953674316), np.float64(-1453.93603515625), np.float64(24.0), np.float64(141.60000610351562), np.float64(-1681.1739501953125)]"
metal,rub,4,1742113829.9981508,"[np.float64(119.70000457763672), np.float64(-35.85000228881836), np.float64(-1619.7059326171875), np.float64(457.20001220703125), np.float64(-823.800048828125), np.float64(-1544.927978515625), np.float64(-814.6500244140625), np.float64(486.3000183105469), np.float64(-1562.593994140625), np.float64(-70.35000610351562), np.float64(-18.0), np.float64(-1444.498046875), np.float64(34.20000076293945), np.float64(144.60000610351562), np.float64(-1668.5899658203125)]"
metal,rub,4,1742113830.098419,"[np.float64(129.3000030517578), np.float64(-37.05000305175781), np.float64(-1617.2860107421875), np.float64(463.0500183105469), np.float64(-823.800048828125), np.float64(-1540.572021484375), np.float64(-817.800048828125), np.float64(486.9000244140625), np.float64(-1558.47998046875), np.float64(-68.25), np.float64(-20.25), np.float64(-1448.6119384765625), np.float64(27.600000381469727), np.float64(144.90000915527344), np.float64(-1678.27001953125)]"
metal,rub,4,1742113830.203552,"[np.float64(122.70000457763672), np.float64(-31.200000762939453), np.float64(-1624.06201171875), np.float64(461.8500061035156), np.float64(-825.4500122070312), np.float64(-1530.407958984375), np.float64(-810.300048828125), np.float64(483.9000244140625), np.float64(-1561.8680419921875), np.float64(-76.6500015258789), np.float64(-18.30000114440918), np.float64(-1439.416015625), np.float64(22.950000762939453), np.float64(138.90000915527344), np.float64(-1669.800048828125)]"
metal,rub,5,1742113831.6384141,"[np.float64(122.25000762939453), np.float64(-31.500001907348633), np.float64(-1613.1719970703125), np.float64(460.3500061035156), np.float64(-827.8500366210938), np.float64(-1536.2159423828125), np.float64(-820.2000122070312), np.float64(488.8500061035156), np.float64(-1558.9639892578125), np.float64(-65.70000457763672), np.float64(-18.0), np.float64(-1445.2239990234375), np.float64(35.10000228881836), np.float64(141.75), np.float64(-1667.864013671875)]"
metal,rub,5,1742113831.743694,"[np.float64(121.6500015258789), np.float64(-33.0), np.float64(-1619.2220458984375), np.float64(462.9000244140625), np.float64(-828.0000610351562), np.float64(-1530.6500244140625), np.float64(-810.7500610351562), np.float64(490.3500061035156), np.float64(-1559.447998046875), np.float64(-67.80000305175781), np.float64(-13.65000057220459), np.float64(-1448.3699951171875), np.float64(29.850000381469727), np.float64(149.70001220703125), np.float64(-1680.447998046875)]"
metal,rub,5,1742113831.849014,"[np.float64(121.80000305175781), np.float64(-37.650001525878906), np.float64(-1622.1259765625), np.float64(459.1500244140625), np.float64(-825.0000610351562), np.float64(-1533.7960205078125), np.float64(-817.3500366210938), np.float64(483.9000244140625), np.float64(-1562.593994140625), np.float64(-65.55000305175781), np.float64(-16.350000381469727), np.float64(-1449.5799560546875), np.float64(28.200000762939453), np.float64(139.35000610351562), np.float64(-1672.219970703125)]"
metal,rub,5,1742113831.9533591,"[np.float64(119.4000015258789), np.float64(-34.5), np.float64(-1613.1719970703125), np.float64(465.3000183105469), np.float64(-824.8500366210938), np.float64(-1541.2979736328125), np.float64(-818.7000122070312), np.float64(488.4000244140625), np.float64(-1553.6400146484375), np.float64(-67.5), np.float64(-15.300000190734863), np.float64(-1440.8680419921875), np.float64(33.0), np.float64(149.70001220703125), np.float64(-1661.3299560546875)]"
metal,rub,5,1742113832.0554008,"[np.float64(120.75000762939453), np.float64(-35.25), np.float64(-1612.929931640625), np.float64(459.6000061035156), np.float64(-825.4500122070312), np.float64(-1539.845947265625), np.float64(-812.7000122070312), np.float64(481.6500244140625), np.float64(-1561.8680419921875), np.float64(-64.05000305175781), np.float64(-19.350000381469727), np.float64(-1447.64404296875), np.float64(27.750001907348633), np.float64(144.0), np.float64(-1675.365966796875)]"
metal,rub,5,1742113832.157008,"[np.float64(124.35000610351562), np.float64(-32.25), np.float64(-1614.865966796875), np.float64(459.0000305175781), np.float64(-822.9000244140625), np.float64(-1539.1199951171875), np.float64(-817.5000610351562), np.float64(482.5500183105469), np.float64(-1564.0460205078125), np.float64(-63.60000228881836), np.float64(-17.850000381469727), np.float64(-1448.85400390625), np.float64(34.05000305175781), np.float64(147.0), np.float64(-1671.251953125)]"
metal,rub,5,1742113832.2605708,"[np.float64(114.9000015258789), np.float64(-33.60000228881836), np.float64(-1613.1719970703125), np.float64(457.6500244140625), np.float64(-823.2000122070312), np.float64(-1533.0699462890625), np.float64(-816.9000244140625), np.float64(485.4000244140625), np.float64(-1551.7039794921875), np.float64(-67.5), np.float64(-20.700000762939453), np.float64(-1440.384033203125), np.float64(37.650001525878906), np.float64(144.3000030517578), np.float64(-1676.5760498046875)]"
metal,rub,5,1742113832.364084,"[np.float64(122.4000015258789), np.float64(-33.900001525878906), np.float64(-1620.6739501953125), np.float64(461.2500305175781), np.float64(-825.300048828125), np.float64(-1535.9739990234375), np.float64(-814.3500366210938), np.float64(489.0000305175781), np.float64(-1565.0140380859375), np.float64(-68.85000610351562), np.float64(-23.25), np.float64(-1453.6939697265625), np.float64(34.20000076293945), np.float64(149.85000610351562), np.float64(-1664.9599609375)]"
metal,rub,5,1742113832.467304,"[np.float64(120.75000762939453), np.float64(-32.85000228881836), np.float64(-1622.3680419921875), np.float64(461.4000244140625), np.float64(-823.800048828125), np.float64(-1534.0379638671875), np.float64(-812.8500366210938), np.float64(490.3500061035156), np.float64(-1557.27001953125), np.float64(-69.45000457763672), np.float64(-19.350000381469727), np.float64(-1440.1419677734375), np.float64(28.350000381469727), np.float64(142.35000610351562), np.float64(-1674.39794921875)]"
metal,rub,5,1742113832.572386,"[np.float64(120.60000610351562), np.float64(-36.45000076293945), np.float64(-1606.8800048828125), np.float64(462.0000305175781), np.float64(-820.6500244140625), np.float64(-1533.31201171875), np.float64(-812.8500366210938), np.float64(483.9000244140625), np.float64(-1568.1600341796875), np.float64(-66.45000457763672), np.float64(-15.450000762939453), np.float64(-1443.77197265625), np.float64(28.950000762939453), np.float64(140.85000610351562), np.float64(-1669.073974609375)]"
metal,rub,5,1742113832.677564,"[np.float64(121.35000610351562), np.float64(-33.150001525878906), np.float64(-1618.011962890625), np.float64(458.4000244140625), np.float64(-826.9500122070312), np.float64(-1534.7640380859375), np.float64(-817.5000610351562), np.float64(486.7500305175781), np.float64(-1548.5579833984375), np.float64(-66.60000610351562), np.float64(-18.30000114440918), np.float64(-1444.0140380859375), np.float64(24.900001525878906), np.float64(149.10000610351562), np.float64(-1675.8499755859375)]"
metal,rub,5,1742113832.778375,"[np.float64(124.20000457763672), np.float64(-32.25), np.float64(-1619.7059326171875), np.float64(456.45001220703125), np.float64(-828.0000610351562), np.float64(-1535.9739990234375), np.float64(-812.2500610351562), np.float64(490.95001220703125), np.float64(-1559.447998046875), np.float64(-66.45000457763672), np.float64(-16.05000114440918), np.float64(-1447.64404296875), np.float64(29.55000114440918), np.float64(138.90000915527344), np.float64(-1676.5760498046875)]"
metal,rub,5,1742113832.882396,"[np.float64(121.20000457763672), np.float64(-36.75), np.float64(-1611.9620361328125), np.float64(462.0000305175781), np.float64(-826.3500366210938), np.float64(-1542.75), np.float64(-818.1000366210938), np.float64(486.6000061035156), np.float64(-1557.511962890625), np.float64(-66.75), np.float64(-16.80000114440918), np.float64(-1445.4659423828125), np.float64(24.900001525878906), np.float64(143.10000610351562), np.float64(-1672.946044921875)]"
metal,rub,5,1742113832.987606,"[np.float64(116.25000762939453), np.float64(-40.35000228881836), np.float64(-1610.9940185546875), np.float64(466.0500183105469), np.float64(-821.2500610351562), np.float64(-1527.7459716796875), np.float64(-817.3500366210938), np.float64(482.2500305175781), np.float64(-1553.156005859375), np.float64(-61.95000076293945), np.float64(-18.30000114440918), np.float64(-1442.3199462890625), np.float64(21.30000114440918), np.float64(145.8000030517578), np.float64(-1673.6719970703125)]"
